ESTUDIANTE;MATEMÁTICAS;LECTURA;INFORMÁTICA;ESTADÍSTICA;DEPORTES
FELIPE;3.4;2.4;2.6;9.5;1.4
JUAN;1;3;3;8.6;3
PATRI;1;4.6;1.4;9.2;3.6
PEDRO;2;2;3;8.8;1
ANA;2.6;3;9.2;3;9.4
DAVID;2.2;2.7;9.6;2.8;9.1
DORA;1.6;3.5;7.3;9.8;9.7
JORGE;4;2.5;8.5;3.1;9.3
LUCIA;2;2;9;9;8.4
MANUEL;3.5;5.3;9.8;3.6;9.8
MARIA;2.6;2.8;8.2;3.2;9.4
SARA;3.6;4.4;9;3.6;8.8
ALEX;8.7;7.9;4.4;7;7
INES;7;8.8;4.6;4;4
JOSE;7.4;8.4;5.6;5;5.5
LUIS;8;9.2;9;3;9.6
LUZ;6.4;8.6;9.1;1.9;9.4
OLGA;8.2;9.4;5;2;6
SAMUEL;7.8;6.8;7.6;3.2;7.5
TULIA;6.4;9.5;5;1;8
